"Brand_Reg","Model_No","SoldIn","screensize","Screen_Tech","Avg_mode_power","Star","SRI","Labelled energy consumption (kWh/year)","Sold In Aus","screensize_inch","GeneralSize"
"EKO","K580USN","Australia",146.059,"LCD (LED)",97.1,"N/A","N/A",357,1,58,"Large"
"KOGAN","KALED58TU9220SKA","Australia,Fiji,New Zealand",146.068,"LCD (LED)",71.24,"N/A","N/A",336,1,58,"Large"
"KOGAN","KALED58TU9210SKA","Australia,Fiji,New Zealand",146.068,"LCD (LED)",71.24,"N/A","N/A",336,1,58,"Large"
"KOGAN","KALED58TU****SKA","Australia,Fiji,New Zealand",146.068,"LCD (LED)",71.24,"N/A","N/A",336,1,58,"Large"
"SAMSUNG ELECTRONICS","UA85AU8000W","Australia,Fiji,New Zealand",214.783,"LCD (LED)",199,"N/A","N/A",729,1,85,"Large"
"SAMSUNG ELECTRONICS","UA85AU8000S","Australia,Fiji,New Zealand",214.783,"LCD (LED)",199,"N/A","N/A",729,1,85,"Large"
"SAMSUNG ELECTRONICS","UA85AU8000","Australia,Fiji,New Zealand",214.783,"LCD (LED)",199,"N/A","N/A",729,1,85,"Large"
"SAMSUNG ELECTRONICS","UA60AU8000S","Australia,Fiji,New Zealand",152.591,"LCD (LED)",117,"N/A","N/A",430,1,60,"Large"
"SAMSUNG ELECTRONICS","UA43AU9000S","Australia,Fiji,New Zealand",107.95,"LCD (LED)",99,"N/A","N/A",364,1,42,"Large"
"SAMSUNG ELECTRONICS","QA75QN900AW","Australia,Fiji,New Zealand",189.306,"LCD (LED)",396,"N/A","N/A",1448,1,75,"Large"
"SAMSUNG ELECTRONICS","QA75QN900AS","Australia,Fiji,New Zealand",189.306,"LCD (LED)",396,"N/A","N/A",1448,1,75,"Large"
"SAMSUNG ELECTRONICS","QA75QN900A","Australia,Fiji,New Zealand",189.306,"LCD (LED)",396,"N/A","N/A",1448,1,75,"Large"
